filename,question,answer_options,correct_answer,notes
ahmed-galal-8fH4JwxbAyw-unsplash.jpg,What type of animals formed the herd in the image?,"[""Zebras"",""Wildebeest"",""Elephants"",""Buffalos""]",Wildebeest,Silhouetted herd at horizon with acacia trees
ahmed-galal-LaLJXbAloZE-unsplash.jpg,How many giraffes were visible in the image?,"[""1"",""2"",""3"",""4""]",1,Single portrait giraffe
alex-azabache-5EZH1du1ifg-unsplash.jpg,What was the primary item for sale in the market scene?,"[""Fresh produce"",""Clothing"",""Wicker baskets"",""Spices""]",Wicker baskets,Market stalls with baskets
alexia-ellesse-oV1LyrTtQXQ-unsplash.jpg,How many elephants were visible in the image?,"[""1"",""2"",""3"",""4""]",2,Two elephants at waterhole
amani-nation-LTh5pGyvKAM-unsplash.jpg,What type of setting was shown in the image?,"[""Rural village"",""Coastal town"",""Urban skyline"",""Safari plain""]",Urban skyline,Nairobi skyline
anja-lee-ming-becker--WhnYmXtwwo-unsplash.jpg,Where did the scene in the image take place?,"[""A hospital courtyard"",""A market alley"",""A school yard"",""A beach promenade""]",A market alley,Narrow market alleyway
ato-aikins-xzM6dK7nxME-unsplash.jpg,What were people carrying on their heads?,"[""Luggage"",""Baskets"",""Bowls"",""Firewood""]",Bowls,Figures carrying bowls on heads
bennett-tobias-Tt_X-AHU3tg-unsplash.jpg,What was the dominant colour of clothing worn?,"[""Blue"",""Green"",""Yellow"",""Red""]",Red,Maasai women in red
bennett-tobias-nsQDm1nBGIs-unsplash.jpg,What were the children doing in the image?,"[""Swimming"",""Eating"",""Reading"",""Playing in dirt""]",Playing in dirt,Children playing in dirt
christer-gundersen-dT4Iu01Zu-M-unsplash.jpg,How many giraffes were in the image?,"[""1"",""2"",""3"",""4""]",3,Three giraffes
